q,P_ord,P_tw_S9,P_tw_S10,inv_qm2,ratio_S10
5,0.200000,0.3333037,0.3333486,0.3333333,1.0000
7,0.142857,0.1998771,0.2000040,0.2000000,1.0000
11,0.090909,0.1111965,0.1110904,0.1111111,0.9998
13,0.076923,0.0909351,0.0908946,0.0909091,0.9998
17,0.058824,0.0666351,0.0665972,0.0666667,0.9990
19,0.052632,0.0586497,0.0588122,0.0588235,0.9998
23,0.043478,0.0475241,0.0475949,0.0476190,0.9995
29,0.034483,0.0369674,0.0370229,0.0370370,0.9996
31,0.032258,0.0344140,0.0345014,0.0344828,1.0005
37,0.027027,0.0285464,0.0285561,0.0285714,0.9995
41,0.024390,0.0256116,0.0256257,0.0256410,0.9994
43,0.023256,0.0243124,0.0244267,0.0243902,1.0015
47,0.021277,0.0222147,0.0222168,0.0222222,0.9998
97,0.010309,0.0105570,0.0105205,0.0105263,0.9994
199,0.005025,0.0050707,0.0050886,0.0050761,1.0025
401,0.002494,0.0025008,0.0025172,0.0025063,1.0044
1009,0.000991,0.0009798,0.0009862,0.0009930,0.9931
2003,0.000499,0.0004926,0.0004983,0.0004998,0.9972
